Movie Name,Genre,Rating,Votes,Duration
1. Gladiator II,Action,6.5, (255K),2h 28m
2. Dune: Part Two,Action,8.5, (645K),2h 46m
3. Fight or Flight,Action,6.4, (15K),1h 42m
4. Twisters,Action,6.5, (176K),2h 2m
5. Kraven the Hunter,Action,5.5, (64K),2h 7m
6. Deadpool & Wolverine,Action,7.5, (509K),2h 8m
7. The Ministry of Ungentlemanly Warfare,Action,6.8, (140K),2h 2m
8. Sonic the Hedgehog 3,Action,6.9, (66K),1h 50m
9. Carry-On,Action,6.5, (173K),1h 59m
10. Civil War,Action,7.0, (245K),1h 49m
11. The Beekeeper,Action,6.3, (163K),1h 45m
12. Venom: The Last Dance,Action,6.0, (131K),1h 50m
13. Furiosa: A Mad Max Saga,Action,7.5, (293K),2h 28m
14. Land of Bad,Action,6.6, (53K),1h 53m
15. The Fall Guy,Action,6.8, (228K),2h 6m
16. The Count of Monte-Cristo,Action,7.6, (38K),2h 58m
17. Road House,Action,6.2, (171K),2h 1m
18. Rebel Ridge,Action,6.8, (91K),2h 11m
19. Role Play,Action,5.5, (19K),1h 40m
20. Argylle,Action,5.6, (94K),2h 19m
21. 40 Acres,Action,6.9, (485),1h 53m
22. Borderlands,Action,4.7, (51K),1h 41m
23. Transformers One,Action,7.6, (55K),1h 44m
24. Freaky Tales,Action,6.2, (7.5K),1h 47m
25. The Unholy Trinity,Action,6.0, (560),1h 35m
26. The Killer,Action,5.7, (14K),2h 6m
27. Damsel,Action,6.1, (112K),1h 50m
28. Madame Web,Action,4.1, (104K),1h 56m
29. William Tell,Action,5.7, (3.2K),2h 14m
30. The Union,Action,5.4, (54K),1h 47m
31. Bad Boys: Ride or Die,Action,6.5, (103K),1h 55m
32. Dirty Angels,Action,4.4, (4.2K),1h 44m
33. Kingdom of the Planet of the Apes,Action,6.8, (155K),2h 25m
34. The Crow,Action,4.7, (37K),1h 51m
35. Maharaja,Action,8.4, (71K),2h 21m
36. Godzilla x Kong: The New Empire,Action,6.0, (124K),1h 55m
37. Homestead,Action,5.2, (4.2K),1h 52m
38. Absolution,Action,5.2, (9K),1h 52m
39. Monkey Man,Action,6.8, (94K),2h 1m
40. Red One,Action,6.3, (143K),2h 3m
41. The Instigators,Action,6.2, (39K),1h 41m
42. The Lord of the Rings: The War of the Rohirrim,Action,6.3, (33K),2h 14m
43. Old Guy,Action,5.2, (3.2K),1h 34m
44. Kung Fu Panda 4,Action,6.3, (71K),1h 34m
45. Drive-Away Dolls,Action,5.4, (24K),1h 24m
46. Elevation,Action,5.6, (24K),1h 31m
47. Survive,Action,4.6, (3.2K),1h 30m
48. The Killer's Game,Action,5.8, (18K),1h 44m
49. Arcadian,Action,5.5, (25K),1h 32m
50. Lift,Action,5.5, (50K),1h 47m
51. Take Cover,Action,5.1, (2.9K),1h 30m
52. Thelma,Action,7.0, (24K),1h 38m
53. Attack on Titan the Movie: The Last Attack,Action,9.1, (18K),2h 25m
54. Beverly Hills Cop: Axel F,Action,6.4, (83K),1h 58m
55. Relay,Action,7.4, (137),1h 52m
56. Blitz,Action,6.2, (17K),2h
57. Uglies,Action,4.7, (34K),1h 40m
58. Apocalypse Z: The Beginning of the End,Action,6.1, (21K),1h 57m
59. Atlas,Action,5.6, (57K),1h 58m
60. Gunner,Action,3.2, (2.9K),1h 46m
61. Pushpa: The Rule - Part 2,Action,6.1, (59K),3h 21m
62. Azrael,Action,5.4, (12K),1h 26m
63. The Prosecutor,Action,6.6, (2.7K),1h 57m
64. Canary Black,Action,5.4, (12K),1h 41m
65. Solo Leveling: ReAwakening,Action,8.8, (14K),2h 1m
66. Under Paris,Action,5.2, (37K),1h 44m
67. Brothers,Action,5.4, (14K),1h 29m
68. Marco,Action,6.7, (23K),2h 25m
69. The Fix,Action,4.7, (1.6K),1h 38m
70. Jackpot!,Action,5.8, (31K),1h 46m
71. Trigger Warning,Action,4.6, (20K),1h 46m
72. Kalki 2898 AD,Action,7.0, (68K),3h
73. Hellboy: The Crooked Man,Action,4.5, (15K),1h 39m
74. The Silent Hour,Action,6.1, (8.4K),1h 39m
75. Night Call,Action,6.7, (2.5K),1h 37m
76. Rebel Moon - Part Two: The Scargiver,Action,5.3, (60K),2h 2m
77. Ghost Killer,Action,6.8, (87),1h 45m
78. The Shadow Strays,Action,6.5, (9.7K),2h 24m
79. 11 Rebels,Action,6.3, (729),2h 35m
80. Karma,Action,7.9, (1.5K),2h 47m
81. Boneyard,Action,4.1, (5.2K),1h 36m
82. Uprising,Action,6.6, (6K),2h 6m
83. Elyas,Action,6.1, (1.6K),1h 45m
84. Fighter,Action,6.2, (53K),2h 46m
85. Aavesham,Action,7.8, (29K),2h 35m
86. Devara Part 1,Action,6.0, (21K),2h 56m
87. Amaran,Action,8.1, (20K),2h 47m
88. Weekend in Taipei,Action,5.7, (5.4K),1h 40m
89. Twilight of the Warriors: Walled In,Action,6.9, (10K),2h 6m
90. Descendants: The Rise of Red,Action,4.7, (7.3K),1h 31m
91. Aftermath,Action,5.1, (4.4K),1h 37m
92. Blood Star,Action,6.4, (6.2K),1h 37m
93. Red Right Hand,Action,5.5, (6.1K),1h 51m
94. Werewolves,Action,4.4, (7.7K),1h 33m
95. Baby John,Action,5.1, (17K),2h 39m
96. Ultraman: Rising,Action,6.9, (6.7K),1h 57m
97. Dan Da Dan: First Encounter,Action,8.2, (3K),1h 23m
98. Watchmen: Chapter I,Action,7.1, (7K),1h 23m
99. Escape from the 21st Century,Action,6.4, (1K),1h 38m
100. I Am What I Am 2,Action,7.5, (385),2h 14m
