Movie Name,Genre,Rating,Votes,Duration
1. A Complete Unknown,Music,7.3, (94K),2h 21m
2. Better Man,Music,7.6, (33K),2h 15m
3. Kneecap,Music,7.6, (20K),1h 45m
4. Maria,Music,6.4, (21K),2h 4m
5. Pavements,Music,7.2, (392),2h 8m
6. The Marching Band,Music,7.4, (4K),1h 43m
7. Back to Black,Music,6.3, (27K),2h 2m
8. Bob Marley: One Love,Music,6.2, (35K),1h 47m
9. Find Me Falling,Music,6.3, (13K),1h 33m
10. Descendants: The Rise of Red,Music,4.7, (7.3K),1h 31m
11. The Greatest Hits,Music,6.2, (7.7K),1h 34m
12. The Piano Lesson,Music,6.2, (5.1K),2h 7m
13. Yacht Rock: A Dockumentary,Music,7.6, (2K),1h 35m
14. Doraemon the Movie: Nobita's Earth Symphony,Music,6.6, (1.6K),1h 55m
15. Soundtrack to a Coup d'Etat,Music,7.8, (3.2K),2h 30m
16. Monsieur Aznavour,Music,7.3, (2.9K),2h 13m
17. Midas Man,Music,6.4, (1.7K),1h 52m
18. Standing on the Shoulders of Kitties,Music,6.2, (668),1h 51m
19. The Trainer,Music,7.2, (66),1h 35m
20. Music by John Williams,Music,8.2, (5.1K),1h 45m
21. The Beach Boys,Music,7.1, (2.2K),1h 53m
22. Given 3: To the Sea,Music,7.5, (147),1h 20m
23. Blur: To the End,Music,7.2, (750),1h 44m
24. The Colors Within,Music,7.1, (1.2K),1h 41m
25. This Is Me... Now,Music,4.1, (7.2K),1h 5m
26. Beatles '64,Music,7.2, (2.7K),1h 46m
27. Return of the King: The Fall and Rise of Elvis Presley,Music,7.6, (2K),1h 30m
28. A King Like Me,Music,6.8, (58),1h 30m
29. Given the Movie: Hiiragi Mix,Music,7.6, (236),1h 10m
30. Amar Singh Chamkila,Music,7.8, (16K),2h 25m
31. Janis Ian: Breaking Silence,Music,7.8, (139),1h 54m
32. Swamp Dogg Gets His Pool Painted,Music,8.3, (91),1h 35m
33. Stevie Van Zandt: Disciple,Music,7.9, (696),2h 27m
34. Avicii - I'm Tim,Music,7.7, (7.4K),1h 35m
35. The Extraordinary Miss Flower,Music,7.2, (41),1h 13m
36. ZEF: The Story of Die Antwoord,Music,7.4, (834),1h 30m
37. Technoboys,Music,5.3, (1K),1h 49m
38. Elton John: Never Too Late,Music,6.5, (2K),1h 42m
