Movie Name,Genre,Rating,Votes,Duration
1. Anora,Romance,7.5, (207K),2h 19m
2. Wicked,Romance,7.4, (170K),2h 40m
3. Babygirl,Romance,5.8, (64K),1h 54m
4. F*** Marry Kill,Romance,5.3, (3.2K),1h 37m
5. The Fall Guy,Romance,6.8, (228K),2h 6m
6. The Count of Monte-Cristo,Romance,7.6, (38K),2h 58m
7. We Live in Time,Romance,7.0, (57K),1h 48m
8. Role Play,Romance,5.5, (19K),1h 40m
9. It Ends with Us,Romance,6.3, (89K),2h 10m
10. The Idea of You,Romance,6.3, (75K),1h 55m
11. Challengers,Romance,7.0, (159K),2h 11m
12. My Old Ass,Romance,6.9, (42K),1h 29m
13. On Swift Horses,Romance,6.0, (2.5K),1h 59m
14. Queer,Romance,6.4, (24K),2h 17m
15. Fly Me to the Moon,Romance,6.6, (52K),2h 12m
16. Love Lies Bleeding,Romance,6.6, (59K),1h 44m
17. The Crow,Romance,4.7, (37K),1h 51m
18. A Nice Indian Boy,Romance,7.4, (2.3K),1h 36m
19. A Family Affair,Romance,5.4, (37K),1h 51m
20. Young Hearts,Romance,7.9, (5.8K),1h 39m
21. Ask Me What You Want,Romance,3.9, (1.3K),1h 54m
22. All We Imagine as Light,Romance,7.1, (11K),1h 58m
23. Love Me,Romance,5.1, (3K),1h 31m
24. Spaceman,Romance,5.7, (44K),1h 47m
25. Bonjour Tristesse,Romance,5.9, (463),1h 50m
26. Upgraded,Romance,6.1, (30K),1h 44m
27. Jane Austen Wrecked My Life,Romance,6.5, (843),1h 38m
28. Daniela Forever,Romance,5.9, (318),1h 53m
29. Mon Potongo,Romance,4.9, (574),2h 29m
30. Winter Spring Summer or Fall,Romance,6.0, (3.1K),1h 37m
31. Culpa Tuya,Romance,5.2, (14K),1h 58m
32. Young Woman and the Sea,Romance,7.5, (18K),2h 9m
33. Turtles All the Way Down,Romance,6.6, (7.5K),1h 51m
34. Vulgar,Romance,5.4, (196),1h 43m
35. Your Monster,Romance,6.4, (6.4K),1h 43m
36. Lonely Planet,Romance,5.7, (12K),1h 34m
37. Loveable,Romance,7.7, (2.6K),1h 41m
38. Before We Forget,Romance,7.5, (142),1h 48m
39. Lilies Not for Me,Romance,7.0, (698),1h 39m
40. Lisa Frankenstein,Romance,6.1, (29K),1h 41m
41. Dreams (Sex Love),Romance,7.6, (790),1h 50m
42. Die Alone,Romance,5.8, (4K),1h 30m
43. Girls Will Be Girls,Romance,7.1, (2.8K),1h 58m
44. Love Across Time,Romance,7.1, (802),1h
45. Emmanuelle,Romance,4.1, (1.9K),1h 47m
46. Killer Heat,Romance,5.6, (14K),1h 35m
47. Mother of the Bride,Romance,4.8, (17K),1h 28m
48. Turn Me On,Romance,5.6, (731),1h 39m
49. Teri Baaton Mein Aisa Uljha Jiya,Romance,6.2, (54K),2h 21m
50. Grafted,Romance,5.6, (2.6K),1h 36m
51. La Cocina,Romance,7.1, (3.7K),2h 19m
52. Find Me Falling,Romance,6.3, (13K),1h 33m
53. The Master and Margarita,Romance,7.2, (5K),2h 36m
54. Our Little Secret,Romance,5.7, (24K),1h 41m
55. Swap,Romance,2.9, (373),1h 26m
56. The Tearsmith,Romance,5.2, (13K),1h 43m
57. Dan Da Dan: First Encounter,Romance,8.2, (3K),1h 23m
58. Sidelined: The QB and Me,Romance,5.9, (4.1K),1h 39m
59. Touch,Romance,7.4, (5.9K),2h 1m
60. The Greatest Hits,Romance,6.2, (7.7K),1h 34m
61. Premalu,Romance,7.8, (20K),2h 36m
62. My Favourite Cake,Romance,7.4, (7.8K),1h 37m
63. Lick,Romance,6.1, (994),1h 15m
64. High Tide,Romance,6.5, (751),1h 41m
65. Irish Wish,Romance,5.2, (22K),1h 33m
66. Girl Haunts Boy,Romance,6.3, (3.4K),1h 40m
67. Intoxicated by Love,Romance,8.5, (14K),1h 58m
68. Private Tutor,Romance,4.9, (227),1h 5m
69. The Family Star,Romance,5.4, (5.6K),2h 39m
70. Beating Hearts,Romance,7.0, (6.1K),2h 46m
71. Went Up the Hill,Romance,6.6, (88),1h 40m
72. Through My Window: Looking at You,Romance,5.5, (5.5K),1h 45m
73. Love,Romance,7.3, (549),1h 59m
74. The Astronaut Lovers,Romance,7.1, (960),1h 56m
75. Sex Love Venice,Romance,4.4, (369),1h 42m
76. Wanted: Girlfriend,Romance,4.2, (238),49m
77. Three Friends,Romance,6.6, (852),1h 57m
78. The Merry Gentlemen,Romance,4.8, (10K),1h 27m
79. White Snake: Afloat,Romance,6.9, (579),2h 13m
80. Drawing Closer,Romance,7.6, (2.8K),1h 58m
81. Someone Like You,Romance,5.9, (2.3K),1h 58m
82. Pedro Páramo,Romance,6.3, (3.1K),2h 10m
83. Young Werther,Romance,5.5, (289),1h 41m
84. Sex,Romance,6.6, (1.5K),1h 58m
85. Love in the Big City,Romance,7.4, (1.7K),1h 58m
86. Beautiful Wedding,Romance,4.1, (4.4K),1h 40m
87. Uranus 2324,Romance,6.4, (4.9K),2h 10m
88. Marmalade,Romance,6.3, (3.8K),1h 39m
89. Eks,Romance,4.5, (211),2h 1m
90. Given 3: To the Sea,Romance,7.5, (147),1h 20m
91. Mor Chhainha Bhuinya 2,Romance,7.4, (127),2h 40m
92. Addition,Romance,8.3, (32),1h 31m
93. A True Gentleman,Romance,4.5, (2.3K),1h 50m
94. Grand Tour,Romance,6.5, (2.1K),2h 9m
95. Sunlight,Romance,7.7, (33),1h 36m
96. A Christmas Castle Proposal: A Royal in Paradise 2,Romance,6.4, (343),
97. Super Happy Forever,Romance,6.9, (232),1h 34m
98. Take My Hand,Romance,6.3, (343),1h 42m
99. Ajosepo,Romance,8.9, (69),2h 14m
100. Hot Frosty,Romance,5.3, (15K),1h 32m
101. Haunted Heart,Romance,4.8, (519),2h 8m
102. This Is Me... Now,Romance,4.1, (7.2K),1h 5m
103. Detective Conan: The Million-Dollar Pentagram,Romance,6.7, (1.6K),1h 51m
104. Another End,Romance,6.4, (842),1h 59m
105. How to Date Billy Walsh,Romance,5.2, (4K),1h 38m
106. Silent Love,Romance,6.4, (436),1h 56m
107. Qalb,Romance,6.5, (2.4K),2h 27m
108. Perfect Endings,Romance,5.5, (228),1h 40m
109. Romance on the Ranch,Romance,6.8, (409),1h 28m
110. Siddharth Roy,Romance,6.3, (2.9K),2h 28m
111. Black Tea,Romance,5.2, (608),1h 50m
112. Boot Camp,Romance,5.8, (1.2K),1h 34m
113. Rasavathi,Romance,6.4, (591),2h 28m
114. My Name Is Loh Kiwan,Romance,6.7, (4.5K),2h 11m
115. The Best Christmas Pageant Ever,Romance,6.8, (6.3K),1h 39m
116. Aichaku,Romance,7.0, (389),1h 58m
117. Art of Love,Romance,4.6, (2.5K),1h 39m
