MovieName,Genre,Rating,Votes,DurationMinutes
Wicked,Romance,7.4,174000,160
Anora,Romance,7.5,211000,139
We Live in Time,Romance,7.0,59000,108
Babygirl,Romance,5.8,65000,114
The Fall Guy,Romance,6.8,229000,126
The Count of Monte-Cristo,Romance,7.6,38000,178
It Ends with Us,Romance,6.3,90000,130
Challengers,Romance,7.0,160000,131
The Idea of You,Romance,6.3,76000,115
Fly Me to the Moon,Romance,6.6,53000,132
Else,Romance,5.6,430,102
My Old Ass,Romance,6.9,42000,89
The Crow,Romance,4.7,37000,111
On Swift Horses,Romance,6.0,2700,119
Queer,Romance,6.4,24000,137
The Greatest Hits,Romance,6.2,7800,94
Love Lies Bleeding,Romance,6.6,59000,104
Mon Potongo,Romance,4.7,760,149
F*** Marry Kill,Romance,5.3,3500,97
All We Imagine as Light,Romance,7.1,11000,118
Bonjour Tristesse,Romance,5.8,581,110
A Family Affair,Romance,5.4,38000,111
A Nice Indian Boy,Romance,7.4,2600,96
Young Hearts,Romance,7.9,6000,99
Emmanuelle,Romance,4.1,2000,107
Culpa Tuya,Romance,5.2,14000,118
Spaceman,Romance,5.7,44000,107
Turtles All the Way Down,Romance,6.6,7700,111
Young Woman and the Sea,Romance,7.5,18000,129
Ask Me What You Want,Romance,3.9,1300,114
Dreams (Sex Love),Romance,7.6,937,110
Jane Austen Wrecked My Life,Romance,6.4,969,98
Love Across Time,Romance,7.1,871,60
Winter Spring Summer or Fall,Romance,6.0,3200,97
Role Play,Romance,5.5,19000,100
Upgraded,Romance,6.1,31000,104
Lonely Planet,Romance,5.7,12000,94
Love Me,Romance,5.1,3100,91
Wild Wild Punjab,Romance,6.2,16000,109
Lisa Frankenstein,Romance,6.1,29000,101
Love Li,Romance,6.4,14000,168
Your Monster,Romance,6.4,6500,103
Went Up the Hill,Romance,6.6,94,100
Girls Will Be Girls,Romance,7.1,2800,118
Dan Da Dan: First Encounter,Romance,8.2,3100,83
Lick,Romance,6.1,1000,75
Daniela Forever,Romance,5.9,384,113
Sidelined: The QB and Me,Romance,5.8,4200,99
Touch,Romance,7.4,6000,121
Before We Forget,Romance,7.5,157,108
Premalu,Romance,7.8,21000,156
Mother of the Bride,Romance,4.8,17000,88
Kahan Shuru Kahan Khatam,Romance,6.1,3300,107
Killer Heat,Romance,5.6,14000,95
The Master and Margarita,Romance,7.2,5100,156
The Tearsmith,Romance,5.2,13000,103
La Cocina,Romance,7.1,3800,139
Die Alone,Romance,5.8,4100,90
Someone Like You,Romance,5.9,2400,118
Find Me Falling,Romance,6.3,13000,93
Grafted,Romance,5.6,2700,96
Beating Hearts,Romance,7.0,6200,166
Love,Romance,7.3,626,119
Loveable,Romance,7.7,2800,101
Lilies Not for Me,Romance,7.0,741,99
Private Tutor,Romance,4.8,243,65
My Favourite Cake,Romance,7.4,8000,97
Our Little Secret,Romance,5.7,24000,101
The Merry Gentlemen,Romance,4.8,10000,87
Super Happy Forever,Romance,6.8,378,94
Irish Wish,Romance,5.2,22000,93
Girl Haunts Boy,Romance,6.3,3400,100
Beautiful Wedding,Romance,4.1,4500,100
Take My Hand,Romance,6.2,365,102
Teri Baaton Mein Aisa Uljha Jiya,Romance,6.2,55000,141
The Astronaut Lovers,Romance,7.1,1000,116
Three Friends,Romance,6.6,897,117
Sunlight,Romance,7.6,43,96
Turn Me On,Romance,5.6,809,99
Uranus 2324,Romance,6.4,5000,130
Hot Frosty,Romance,5.3,15000,92
Sex,Romance,6.6,1500,118
Boot Camp,Romance,5.8,1300,94
Wanted: Girlfriend,Romance,4.2,239,49
The Family Star,Romance,5.4,5700,159
Love in the Big City,Romance,7.4,1800,118
High Tide,Romance,6.4,818,101
Addition,Romance,8.4,34,91
Pedro Páramo,Romance,6.3,3200,130
Through My Window: Looking at You,Romance,5.5,5600,105
Hear Me: Our Summer,Romance,7.5,982,109
Qalb,Romance,6.5,2400,147
Do Aur Do Pyaar,Romance,6.4,12000,140
